OTUID,out36-1,out36-11,out36-13,out36-15,out36-17,out36-18,out36-2,out36-20,out36-21,out36-23,out36-24,out36-26,out36-28,out36-5,out36-7,out36-9,51-1,51-10,51-11,51-12,51-13,51-14,51-15,51-16,51-17,51-18,51-19,51-2,51-20,51-21,51-22,51-23,51-24,51-25,51-26,51-27,51-28,51-29,51-3,51-30,51-31,51-32,51-33,51-34,51-35,51-36,51-37,51-38,51-39,51-4,51-40,51-41,51-42,51-43,51-44,51-45,51-46,51-47,51-48,51-49,51-5,51-50,51-51,51-52,51-53,51-54,51-55,51-56,51-6,51-7,51-75,51-8,51-9,52-1,52-10,52-11,52-12,52-13,52-14,52-15,52-16,52-17,52-18,52-19,52-2,52-20,52-21,52-22,52-23,52-24,52-25,52-26,52-27,52-28,52-29,52-3,52-30,52-31,52-32,52-33,52-34,52-35,52-36,52-37,52-38,52-39,52-4,52-40,52-41,52-42,52-43,52-44,52-45,52-46,52-47,52-48,52-49,52-5,52-50,52-51,52-52,52-53,52-54,52-55,52-56,52-6,52-7,52-8,52-9
ASV_31,0,0,0,0,0,0,0,0,11136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_32,0,0,0,63,1229,0,285,0,7313,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,353,137,0,0,0,238,106,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,394,0,0,0,0,0,267,0,0,0,235,85,0,0,0,0,0,0,0,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,24,72,0,0,0,0
ASV_33,2349,0,0,173,2547,0,258,0,4868,0,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_34,0,0,0,2520,0,292,0,2151,167,0,0,0,3548,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_35,0,420,7596,0,0,0,0,0,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,32,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,47,0,0,0,0,0,90,0,0
ASV_36,0,0,0,0,0,0,0,6809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,491,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,333,0,0,0,305,215,454,0,0,0,0,0,388,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0
ASV_37,0,0,0,0,0,927,0,0,7812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,34,26,0,0,0,41,0,0,0,0,17,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,161,275,421,0,100,0,0,0,0,0,0,0,0,53,0,117,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0
ASV_38,0,0,0,0,2920,0,0,0,0,0,0,0,5437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,303,265,0,0,388,0,0,0,0
ASV_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_40,0,0,0,0,0,0,306,0,6262,891,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0
